,Date,TrueCases,Observed,LSTM,Hybrid model (lockdown),7-Day average
91,2020-11-07,,39809.0,33164.0,33679.0,34503.0
92,2020-11-08,,32614.0,32506.0,33437.0,34946.0
93,2020-11-09,,25269.0,31876.0,33014.0,34580.0
94,2020-11-10,,35090.0,32347.0,33681.0,34775.0
95,2020-11-11,,32961.0,32003.0,32227.0,35073.0
96,2020-11-12,,37977.0,32432.0,31631.0,34658.0
97,2020-11-13,,40902.0,32725.0,30988.0,34847.0
98,2020-11-14,,37249.0,32572.0,29928.0,34590.0
99,2020-11-15,,33977.0,32398.0,29523.0,34066.0
100,2020-11-16,,27352.0,32012.0,29759.0,33711.0
101,2020-11-17,,32191.0,32249.0,30151.0,32906.0
102,2020-11-18,,34280.0,32300.0,30153.0,32273.0
103,2020-11-19,,36176.0,32243.0,30097.0,30993.0
104,2020-11-20,,37239.0,32001.0,30053.0,29789.0
105,2020-11-21,,34764.0,31159.0,29855.0,28764.0
106,2020-11-22,,28337.0,30746.0,30375.0,27493.0
107,2020-11-23,,22927.0,30483.0,29667.0,26286.0
108,2020-11-24,,23227.0,30589.0,29286.0,25187.0
109,2020-11-25,,25852.0,30838.0,29034.0,24251.0
110,2020-11-26,,29001.0,31125.0,28823.0,23697.0
111,2020-11-27,,28342.0,31155.0,28369.0,22962.0
112,2020-11-28,,26315.0,31089.0,27824.0,22136.0
113,2020-11-29,,20646.0,30821.0,27079.0,21532.0
114,2020-11-30,,16376.0,30625.0,26412.0,20780.0
115,2020-12-01,,19347.0,30882.0,26207.0,20529.0
116,2020-12-02,,20709.0,31035.0,25908.0,20143.0
117,2020-12-03,,23219.0,31236.0,25673.0,19499.0
118,2020-12-04,,24110.0,31310.0,25324.0,18363.0
119,2020-12-05,,21052.0,31161.0,24769.0,17474.0
120,2020-12-06,,18887.0,31066.0,24285.0,16705.0
121,2020-12-07,,13679.0,30821.0,23670.0,16541.0
122,2020-12-08,,14837.0,30947.0,23447.0,16405.0
123,2020-12-09,,12755.0,32051.0,26207.0,16169.0
124,2020-12-10,,16998.0,31630.0,26607.0,16169.0
125,2020-12-11,,18726.0,33718.0,26846.0,16856.0
126,2020-12-12,,19902.0,32886.0,26967.0,17033.0
127,2020-12-13,,17937.0,32193.0,26813.0,16558.0
128,2020-12-14,,12025.0,33253.0,26376.0,16044.0
129,2020-12-15,,14839.0,32854.0,26018.0,15639.0
130,2020-12-16,,17568.0,32675.0,25436.0,15474.0
131,2020-12-17,,18233.0,32879.0,25304.0,15256.0
132,2020-12-18,,15401.0,32674.0,23930.0,14733.0
133,2020-12-19,,16305.0,32813.0,23791.0,14706.0
134,2020-12-20,,15102.0,32696.0,23551.0,15225.0
135,2020-12-21,,10869.0,32546.0,23048.0,14382.0
136,2020-12-22,,13316.0,32458.0,24933.0,13502.0
137,2020-12-23,,13908.0,32756.0,23741.0,13175.0
138,2020-12-24,,18039.0,32765.0,23761.0,12874.0
139,2020-12-25,,19037.0,32955.0,22636.0,13202.0
140,2020-12-26,,10405.0,32391.0,22974.0,13978.0
141,2020-12-27,,8937.0,32493.0,21719.0,14432.0
142,2020-12-28,,8581.0,32376.0,21518.0,14635.0
143,2020-12-29,,11210.0,32596.0,21531.0,15393.0
144,2020-12-30,,16202.0,32915.0,20662.0,15710.0
145,2020-12-31,,23477.0,33379.0,20955.0,16305.0